"Codi";"Sigles";"Vots";"percent"
"17178";"Sí - En blanc";"10";"1,37"
"17178";"No";"16";"2,19"
"17178";"En blanc";"5";",68"
"17178";"Altres";"28";"3,84"
"17182";"Sí - Sí";"68";"75,56"
"17182";"Sí - No";"9";"10,00"
"17182";"Sí - En blanc";"1";"1,11"
"17182";"No";"4";"4,44"
"17182";"En blanc";"0";",00"
"17182";"Altres";"8";"8,89"
"17187";"Sí - Sí";"379";"84,98"
"17187";"Sí - No";"39";"8,74"
"17187";"Sí - En blanc";"9";"2,02"
"17187";"No";"7";"1,57"
"17187";"En blanc";"3";",67"
"17187";"Altres";"9";"2,02"
"17188";"Sí - Sí";"120";"91,60"
"17188";"Sí - No";"2";"1,53"
"17188";"Sí - En blanc";"1";",76"
"17188";"No";"5";"3,82"
"17188";"En blanc";"1";",76"
"17188";"Altres";"2";"1,53"
"17052";"Sí - Sí";"73";"94,81"
"17052";"Sí - No";"2";"2,60"
"17052";"Sí - En blanc";"1";"1,30"
"17052";"No";"0";",00"
"17052";"En blanc";"0";",00"
"17052";"Altres";"1";"1,30"
"17196";"Sí - Sí";"117";"87,97"
"17196";"Sí - No";"6";"4,51"
"17196";"Sí - En blanc";"0";",00"
"17196";"No";"7";"5,26"
"17196";"En blanc";"2";"1,50"
"17196";"Altres";"1";",75"
"17198";"Sí - Sí";"200";"87,34"
"17198";"Sí - No";"9";"3,93"
"17198";"Sí - En blanc";"4";"1,75"
"17198";"No";"9";"3,93"
"17198";"En blanc";"1";",44"
"17198";"Altres";"6";"2,62"
"17014";"Sí - Sí";"43";"82,69"
"17014";"Sí - No";"5";"9,62"
"17014";"Sí - En blanc";"0";",00"
"17014";"No";"1";"1,92"
"17014";"En blanc";"0";",00"
"17014";"Altres";"3";"5,77"
"17210";"Sí - Sí";"303";"92,66"
"17210";"Sí - No";"11";"3,36"
"17210";"Sí - En blanc";"1";",31"
"17210";"No";"2";",61"
"17210";"En blanc";"1";",31"
"17210";"Altres";"9";"2,75"
"17214";"Sí - Sí";"400";"91,12"
"17214";"Sí - No";"12";"2,73"
"17214";"Sí - En blanc";"5";"1,14"
"17214";"No";"6";"1,37"
"17214";"En blanc";"3";",68"
"17214";"Altres";"13";"2,96"
"17217";"Sí - Sí";"246";"92,83"
"17217";"Sí - No";"5";"1,89"
"17217";"Sí - En blanc";"2";",75"
"17217";"No";"3";"1,13"
"17217";"En blanc";"3";"1,13"
"17217";"Altres";"6";"2,26"
"17221";"Sí - Sí";"1634";"83,92"
"17221";"Sí - No";"131";"6,73"
"17221";"Sí - En blanc";"17";",87"
"17221";"No";"95";"4,88"
"17221";"En blanc";"10";",51"
"17221";"Altres";"60";"3,08"
"17223";"Sí - Sí";"368";"78,63"
"17223";"Sí - No";"31";"6,62"
"17223";"Sí - En blanc";"8";"1,71"
"17223";"No";"33";"7,05"
"17223";"En blanc";"4";",85"
"17223";"Altres";"24";"5,13"
"17225";"Sí - Sí";"123";"93,18"
"17225";"Sí - No";"4";"3,03"
"17225";"Sí - En blanc";"4";"3,03"
"17225";"No";"0";",00"
"17225";"En blanc";"0";",00"
"17225";"Altres";"1";",76"
"17226";"Sí - Sí";"254";"78,64"
"17226";"Sí - No";"28";"8,67"
"17226";"Sí - En blanc";"2";",62"
"17226";"No";"19";"5,88"
"17226";"En blanc";"0";",00"
"17226";"Altres";"20";"6,19"
"17227";"Sí - Sí";"87";"95,60"
"17227";"Sí - No";"3";"3,30"
"17227";"Sí - En blanc";"0";",00"
"17227";"No";"1";"1,10"
"17227";"En blanc";"0";",00"
"17227";"Altres";"0";",00"
"17228";"Sí - Sí";"147";"91,30"
"17228";"Sí - No";"5";"3,11"
"17228";"Sí - En blanc";"5";"3,11"
"17228";"No";"1";",62"
"17228";"En blanc";"3";"1,86"
"17228";"Altres";"0";",00"
"17230";"Sí - Sí";"200";"83,68"
"17230";"Sí - No";"17";"7,11"
"17230";"Sí - En blanc";"3";"1,26"
"17230";"No";"10";"4,18"
"17230";"En blanc";"1";",42"
"17230";"Altres";"8";"3,35"
"17222";"Sí - Sí";"64";"90,14"
"17222";"Sí - No";"3";"4,23"
"17222";"Sí - En blanc";"0";",00"
"17222";"No";"1";"1,41"
"17222";"En blanc";"0";",00"
"17222";"Altres";"3";"4,23"
"08013";"Sí - Sí";"672";"88,89"
"08013";"Sí - No";"40";"5,29"
"08013";"Sí - En blanc";"9";"1,19"
"08013";"No";"12";"1,59"
"08013";"En blanc";"3";",40"
"08013";"Altres";"20";"2,65"
"08027";"Sí - Sí";"392";"84,30"
"08027";"Sí - No";"33";"7,10"
"08027";"Sí - En blanc";"2";",43"
"08027";"No";"17";"3,66"
"08027";"En blanc";"0";",00"
"08027";"Altres";"21";"4,52"
"08058";"Sí - Sí";"623";"83,85"
"08058";"Sí - No";"57";"7,67"
"08058";"Sí - En blanc";"7";",94"
"08058";"No";"32";"4,31"
"08058";"En blanc";"3";",40"
"08058";"Altres";"21";"2,83"
"08065";"Sí - Sí";"762";"87,79"
"08065";"Sí - No";"49";"5,65"
"08065";"Sí - En blanc";"5";",58"
"08065";"No";"24";"2,76"
"08065";"En blanc";"10";"1,15"
"08065";"Altres";"18";"2,07"
"08085";"Sí - Sí";"671";"90,55"
"08085";"Sí - No";"28";"3,78"
"08085";"Sí - En blanc";"9";"1,21"
"08085";"No";"11";"1,48"
"08085";"En blanc";"7";",94"
"08085";"Altres";"15";"2,02"
"08091";"Sí - Sí";"2073";"82,36"
"08091";"Sí - No";"242";"9,61"
"08091";"Sí - En blanc";"34";"1,35"
"08091";"No";"91";"3,62"
"08091";"En blanc";"13";",52"
"08091";"Altres";"64";"2,54"
"08094";"Sí - Sí";"875";"86,29"
"08094";"Sí - No";"61";"6,02"
"08094";"Sí - En blanc";"16";"1,58"
"08094";"No";"29";"2,86"
"08094";"En blanc";"5";",49"
"08094";"Altres";"28";"2,76"
"08122";"Sí - Sí";"725";"87,45"
"08122";"Sí - No";"31";"3,74"
"08122";"Sí - En blanc";"7";",84"
"08122";"No";"18";"2,17"
"08122";"En blanc";"8";",97"
"08122";"Altres";"40";"4,83"
"08145";"Sí - Sí";"1281";"85,17"
"08145";"Sí - No";"130";"8,64"
"08145";"Sí - En blanc";"12";",80"
"08145";"No";"42";"2,79"
"08145";"En blanc";"11";",73"
"08145";"Altres";"28";"1,86"
"08146";"Sí - Sí";"418";"80,23"
"08146";"Sí - No";"44";"8,45"
"08146";"Sí - En blanc";"4";",77"
"08146";"No";"39";"7,49"
"08146";"En blanc";"0";",00"
"08146";"Altres";"16";"3,07"
"08154";"Sí - Sí";"331";"81,73"
