"Codi";"Sigles";"Vots";"percent"
"43025";"Altres";"9";"2,49"
"43903";"Sí - Sí";"1129";"88,97"
"43903";"Sí - No";"50";"3,94"
"43903";"Sí - En blanc";"14";"1,10"
"43903";"No";"29";"2,29"
"43903";"En blanc";"6";",47"
"43903";"Altres";"41";"3,23"
"43901";"Sí - Sí";"4026";"88,31"
"43901";"Sí - No";"178";"3,90"
"43901";"Sí - En blanc";"77";"1,69"
"43901";"No";"117";"2,57"
"43901";"En blanc";"39";",86"
"43901";"Altres";"122";"2,68"
"43102";"Sí - Sí";"218";"84,50"
"43102";"Sí - No";"19";"7,36"
"43102";"Sí - En blanc";"5";"1,94"
"43102";"No";"8";"3,10"
"43102";"En blanc";"1";",39"
"43102";"Altres";"7";"2,71"
"43104";"Sí - Sí";"1183";"92,42"
"43104";"Sí - No";"32";"2,50"
"43104";"Sí - En blanc";"11";",86"
"43104";"No";"21";"1,64"
"43104";"En blanc";"15";"1,17"
"43104";"Altres";"18";"1,41"
"43133";"Sí - Sí";"2276";"83,92"
"43133";"Sí - No";"197";"7,26"
"43133";"Sí - En blanc";"28";"1,03"
"43133";"No";"114";"4,20"
"43133";"En blanc";"16";",59"
"43133";"Altres";"81";"2,99"
"43149";"Sí - Sí";"318";"82,17"
"43149";"Sí - No";"28";"7,24"
"43149";"Sí - En blanc";"10";"2,58"
"43149";"No";"19";"4,91"
"43149";"En blanc";"6";"1,55"
"43149";"Altres";"6";"1,55"
"43155";"Sí - Sí";"8896";"84,01"
"43155";"Sí - No";"833";"7,87"
"43155";"Sí - En blanc";"75";",71"
"43155";"No";"432";"4,08"
"43155";"En blanc";"73";",69"
"43155";"Altres";"280";"2,64"
"43052";"Sí - Sí";"497";"84,67"
"43052";"Sí - No";"22";"3,75"
"43052";"Sí - En blanc";"10";"1,70"
"43052";"No";"25";"4,26"
"43052";"En blanc";"10";"1,70"
"43052";"Altres";"23";"3,92"
"17004";"Sí - Sí";"329";"91,64"
"17004";"Sí - No";"13";"3,62"
"17004";"Sí - En blanc";"5";"1,39"
"17004";"No";"6";"1,67"
"17004";"En blanc";"0";",00"
"17004";"Altres";"6";"1,67"
"17013";"Sí - Sí";"1100";"85,87"
"17013";"Sí - No";"71";"5,54"
"17013";"Sí - En blanc";"14";"1,09"
"17013";"No";"49";"3,83"
"17013";"En blanc";"5";",39"
"17013";"Altres";"42";"3,28"
"17018";"Sí - Sí";"323";"88,49"
"17018";"Sí - No";"17";"4,66"
"17018";"Sí - En blanc";"4";"1,10"
"17018";"No";"7";"1,92"
"17018";"En blanc";"3";",82"
"17018";"Altres";"11";"3,01"
"17022";"Sí - Sí";"3707";"89,50"
"17022";"Sí - No";"169";"4,08"
"17022";"Sí - En blanc";"66";"1,59"
"17022";"No";"81";"1,96"
"17022";"En blanc";"27";",65"
"17022";"Altres";"92";"2,22"
"17034";"Sí - Sí";"2734";"85,76"
"17034";"Sí - No";"174";"5,46"
"17034";"Sí - En blanc";"34";"1,07"
"17034";"No";"100";"3,14"
"17034";"En blanc";"19";",60"
"17034";"Altres";"127";"3,98"
"17048";"Sí - Sí";"2017";"82,03"
"17048";"Sí - No";"191";"7,77"
"17048";"Sí - En blanc";"32";"1,30"
"17048";"No";"124";"5,04"
"17048";"En blanc";"6";",24"
"17048";"Altres";"89";"3,62"
"17055";"Sí - Sí";"107";"93,86"
"17055";"Sí - No";"0";",00"
"17055";"Sí - En blanc";"0";",00"
"17055";"No";"2";"1,75"
"17055";"En blanc";"0";",00"
"17055";"Altres";"5";"4,39"
"17057";"Sí - Sí";"664";"92,61"
"17057";"Sí - No";"27";"3,77"
"17057";"Sí - En blanc";"4";",56"
"17057";"No";"3";",42"
"17057";"En blanc";"4";",56"
"17057";"Altres";"15";"2,09"
"17901";"Sí - Sí";"582";"90,37"
"17901";"Sí - No";"19";"2,95"
"17901";"Sí - En blanc";"9";"1,40"
"17901";"No";"8";"1,24"
"17901";"En blanc";"6";",93"
"17901";"Altres";"20";"3,11"
"17068";"Sí - Sí";"156";"90,17"
"17068";"Sí - No";"11";"6,36"
"17068";"Sí - En blanc";"1";",58"
"17068";"No";"3";"1,73"
"17068";"En blanc";"1";",58"
"17068";"Altres";"1";",58"
"17070";"Sí - Sí";"74";"92,50"
"17070";"Sí - No";"4";"5,00"
"17070";"Sí - En blanc";"1";"1,25"
"17070";"No";"0";",00"
"17070";"En blanc";"1";"1,25"
"17070";"Altres";"0";",00"
"17902";"Sí - Sí";"812";"87,78"
"17902";"Sí - No";"51";"5,51"
"17902";"Sí - En blanc";"14";"1,51"
"17902";"No";"20";"2,16"
"17902";"En blanc";"6";",65"
"17902";"Altres";"22";"2,38"
"17076";"Sí - Sí";"73";"87,95"
"17076";"Sí - No";"2";"2,41"
"17076";"Sí - En blanc";"1";"1,20"
"17076";"No";"1";"1,20"
"17076";"En blanc";"3";"3,61"
"17076";"Altres";"3";"3,61"
"17081";"Sí - Sí";"153";"90,00"
"17081";"Sí - No";"11";"6,47"
"17081";"Sí - En blanc";"2";"1,18"
"17081";"No";"2";"1,18"
"17081";"En blanc";"1";",59"
"17081";"Altres";"1";",59"
"17085";"Sí - Sí";"209";"94,14"
"17085";"Sí - No";"4";"1,80"
"17085";"Sí - En blanc";"2";",90"
"17085";"No";"3";"1,35"
"17085";"En blanc";"1";",45"
"17085";"Altres";"3";"1,35"
"17110";"Sí - Sí";"600";"80,54"
"17110";"Sí - No";"66";"8,86"
"17110";"Sí - En blanc";"5";",67"
"17110";"No";"31";"4,16"
"17110";"En blanc";"6";",81"
"17110";"Altres";"37";"4,97"
"17117";"Sí - Sí";"5680";"85,66"
"17117";"Sí - No";"404";"6,09"
"17117";"Sí - En blanc";"83";"1,25"
"17117";"No";"218";"3,29"
"17117";"En blanc";"39";",59"
"17117";"Altres";"207";"3,12"
"17118";"Sí - Sí";"5499";"87,01"
"17118";"Sí - No";"344";"5,44"
"17118";"Sí - En blanc";"51";",81"
"17118";"No";"201";"3,18"
"17118";"En blanc";"23";",36"
"17118";"Altres";"202";"3,20"
"17121";"Sí - Sí";"162";"91,01"
"17121";"Sí - No";"8";"4,49"
"17121";"Sí - En blanc";"1";",56"
"17121";"No";"2";"1,12"
"17121";"En blanc";"0";",00"
"17121";"Altres";"5";"2,81"
"17124";"Sí - Sí";"890";"88,65"
"17124";"Sí - No";"46";"4,58"
"17124";"Sí - En blanc";"9";",90"
"17124";"No";"27";"2,69"
"17124";"En blanc";"3";",30"
"17124";"Altres";"29";"2,89"
"17126";"Sí - Sí";"237";"95,18"
"17126";"Sí - No";"5";"2,01"
"17126";"Sí - En blanc";"4";"1,61"
"17126";"No";"0";",00"
"17126";"En blanc";"1";",40"
"17126";"Altres";"2";",80"
"17130";"Sí - Sí";"230";"95,04"
"17130";"Sí - No";"5";"2,07"
"17130";"Sí - En blanc";"4";"1,65"
"17130";"No";"1";",41"
"17130";"En blanc";"0";",00"
"17130";"Altres";"2";",83"
"17144";"Sí - Sí";"126";"91,30"
"17144";"Sí - No";"7";"5,07"
"17144";"Sí - En blanc";"3";"2,17"
"17144";"No";"0";",00"
"17144";"En blanc";"0";",00"
"17144";"Altres";"2";"1,45"
"17153";"Sí - Sí";"132";"91,03"
"17153";"Sí - No";"6";"4,14"
"17153";"Sí - En blanc";"2";"1,38"
"17153";"No";"2";"1,38"
"17153";"En blanc";"0";",00"
"17153";"Altres";"3";"2,07"
"17160";"Sí - Sí";"5832";"84,89"
"17160";"Sí - No";"457";"6,65"
"17160";"Sí - En blanc";"83";"1,21"
"17160";"No";"259";"3,77"
"17160";"En blanc";"32";",47"
"17160";"Altres";"207";"3,01"
"17181";"Sí - Sí";"1405";"83,38"
"17181";"Sí - No";"127";"7,54"
"17181";"Sí - En blanc";"13";",77"
"17181";"No";"75";"4,45"
"17181";"En blanc";"11";",65"
"17181";"Altres";"54";"3,20"
"17191";"Sí - Sí";"113";"91,13"
"17191";"Sí - No";"5";"4,03"
"17191";"Sí - En blanc";"1";",81"
"17191";"No";"0";",00"
"17191";"En blanc";"1";",81"
"17191";"Altres";"4";"3,23"
"17195";"Sí - Sí";"218";"90,46"
"17195";"Sí - No";"14";"5,81"
"17195";"Sí - En blanc";"0";",00"
"17195";"No";"4";"1,66"
"17195";"En blanc";"2";",83"
"17195";"Altres";"3";"1,24"
"17197";"Sí - Sí";"90";"85,71"
"17197";"Sí - No";"4";"3,81"
"17197";"Sí - En blanc";"1";",95"
"17197";"No";"4";"3,81"
"17197";"En blanc";"3";"2,86"
"17197";"Altres";"3";"2,86"
"17199";"Sí - Sí";"3780";"91,19"
"17199";"Sí - No";"139";"3,35"
"17199";"Sí - En blanc";"20";",48"
"17199";"No";"66";"1,59"
"17199";"En blanc";"33";",80"
"17199";"Altres";"107";"2,58"
"17204";"Sí - Sí";"282";"87,04"
"17204";"Sí - No";"10";"3,09"
"17204";"Sí - En blanc";"3";",93"
"17204";"No";"8";"2,47"
"17204";"En blanc";"3";",93"
"17204";"Altres";"18";"5,56"
"17205";"Sí - Sí";"155";"93,37"
"17205";"Sí - No";"6";"3,61"
"17205";"Sí - En blanc";"2";"1,20"
"17205";"No";"1";",60"
"17205";"En blanc";"1";",60"
"17205";"Altres";"1";",60"
"17203";"Sí - Sí";"107";"96,40"
"17203";"Sí - No";"2";"1,80"
"17203";"Sí - En blanc";"0";",00"
"17203";"No";"2";"1,80"
"17203";"En blanc";"0";",00"
"17203";"Altres";"0";",00"
"17209";"Sí - Sí";"325";"89,53"
"17209";"Sí - No";"23";"6,34"
"17209";"Sí - En blanc";"5";"1,38"
"17209";"No";"5";"1,38"
"17209";"En blanc";"0";",00"
"17209";"Altres";"5";"1,38"
"17211";"Sí - Sí";"599";"91,45"
"17211";"Sí - No";"22";"3,36"
"17211";"Sí - En blanc";"5";",76"
"17211";"No";"10";"1,53"
"17211";"En blanc";"7";"1,07"
"17211";"Altres";"12";"1,83"
"17232";"Sí - Sí";"84";"88,42"
"17232";"Sí - No";"5";"5,26"
"17232";"Sí - En blanc";"0";",00"
"17232";"No";"1";"1,05"
"17232";"En blanc";"1";"1,05"
"17232";"Altres";"4";"4,21"
"08001";"Sí - Sí";"2036";"68,92"
"08001";"Sí - No";"449";"15,20"
"08001";"Sí - En blanc";"24";",81"
"08001";"No";"284";"9,61"
"08001";"En blanc";"10";",34"
"08001";"Altres";"151";"5,11"
"08020";"Sí - Sí";"2149";"83,13"
"08020";"Sí - No";"275";"10,64"
"08020";"Sí - En blanc";"21";",81"
"08020";"No";"77";"2,98"
"08020";"En blanc";"8";",31"
"08020";"Altres";"55";"2,13"
"08056";"Sí - Sí";"9293";"70,24"
"08056";"Sí - No";"2307";"17,44"
"08056";"Sí - En blanc";"104";",79"
"08056";"No";"1144";"8,65"
"08056";"En blanc";"63";",48"
"08056";"Altres";"320";"2,42"
"08066";"Sí - Sí";"474";"84,04"
"08066";"Sí - No";"56";"9,93"
"08066";"Sí - En blanc";"1";",18"
"08066";"No";"17";"3,01"
"08066";"En blanc";"4";",71"
"08066";"Altres";"12";"2,13"
"08068";"Sí - Sí";"2308";"80,90"
"08068";"Sí - No";"363";"12,72"
"08068";"Sí - En blanc";"17";",60"
"08068";"No";"118";"4,14"
"08068";"En blanc";"9";",32"
"08068";"Altres";"38";"1,33"
"08069";"Sí - Sí";"1399";"84,79"
"08069";"Sí - No";"125";"7,58"
"08069";"Sí - En blanc";"17";"1,03"
"08069";"No";"72";"4,36"
"08069";"En blanc";"10";",61"
"08069";"Altres";"27";"1,64"
"08072";"Sí - Sí";"3800";"84,02"
"08072";"Sí - No";"464";"10,26"
"08072";"Sí - En blanc";"24";",53"
"08072";"No";"136";"3,01"
"08072";"En blanc";"15";",33"
"08072";"Altres";"84";"1,86"
"08073";"Sí - Sí";"10139";"64,68"
"08073";"Sí - No";"3033";"19,35"
"08073";"Sí - En blanc";"177";"1,13"
"08073";"No";"1440";"9,19"
"08073";"En blanc";"81";",52"
"08073";"Altres";"805";"5,14"
"08076";"Sí - Sí";"5237";"77,90"
"08076";"Sí - No";"778";"11,57"
"08076";"Sí - En blanc";"84";"1,25"
"08076";"No";"352";"5,24"
"08076";"En blanc";"28";",42"
"08076";"Altres";"244";"3,63"
"08077";"Sí - Sí";"7627";"70,96"
"08077";"Sí - No";"1794";"16,69"
"08077";"Sí - En blanc";"103";",96"
"08077";"No";"722";"6,72"
"08077";"En blanc";"64";",60"
"08077";"Altres";"439";"4,08"
"08089";"Sí - Sí";"7390";"70,75"
"08089";"Sí - No";"1587";"15,19"
"08089";"Sí - En blanc";"104";"1,00"
"08089";"No";"851";"8,15"
"08089";"En blanc";"56";",54"
"08089";"Altres";"457";"4,38"
"08114";"Sí - Sí";"5252";"75,54"
"08114";"Sí - No";"870";"12,51"
"08114";"Sí - En blanc";"69";",99"
"08114";"No";"552";"7,94"
"08114";"En blanc";"48";",69"
"08114";"Altres";"162";"2,33"
"08123";"Sí - Sí";"8018";"82,88"
"08123";"Sí - No";"1009";"10,43"
"08123";"Sí - En blanc";"67";",69"
"08123";"No";"334";"3,45"
"08123";"En blanc";"46";",48"
"08123";"Altres";"200";"2,07"
"08147";"Sí - Sí";"5823";"80,05"
"08147";"Sí - No";"781";"10,74"
"08147";"Sí - En blanc";"62";",85"
"08147";"No";"331";"4,55"
"08147";"En blanc";"33";",45"
"08147";"Altres";"244";"3,35"
"08157";"Sí - Sí";"2296";"73,38"
"08157";"Sí - No";"453";"14,48"
"08157";"Sí - En blanc";"19";",61"
"08157";"No";"293";"9,36"
"08157";"En blanc";"13";",42"
"08157";"Altres";"55";"1,76"
"08905";"Sí - Sí";"1154";"78,66"
"08905";"Sí - No";"165";"11,25"
"08905";"Sí - En blanc";"13";",89"
"08905";"No";"83";"5,66"
"08905";"En blanc";"11";",75"
"08905";"Altres";"41";"2,79"
"08158";"Sí - Sí";"1216";"81,78"
"08158";"Sí - No";"144";"9,68"
"08158";"Sí - En blanc";"13";",87"
"08158";"No";"103";"6,93"
"08158";"En blanc";"6";",40"
"08158";"Altres";"5";",34"
"08169";"Sí - Sí";"9081";"64,00"
"08169";"Sí - No";"2502";"17,63"
"08169";"Sí - En blanc";"171";"1,21"
"08169";"No";"1483";"10,45"
"08169";"En blanc";"76";",54"
"08169";"Altres";"875";"6,17"
"08196";"Sí - Sí";"3455";"66,29"
"08196";"Sí - No";"936";"17,96"
"08196";"Sí - En blanc";"36";",69"
"08196";"No";"492";"9,44"
"08196";"En blanc";"20";",38"
"08196";"Altres";"273";"5,24"
"08200";"Sí - Sí";"12315";"67,67"
"08200";"Sí - No";"3176";"17,45"
"08200";"Sí - En blanc";"193";"1,06"
"08200";"No";"1659";"9,12"
"08200";"En blanc";"86";",47"
"08200";"Altres";"769";"4,23"
"08204";"Sí - Sí";"1193";"80,23"
"08204";"Sí - No";"163";"10,96"
"08204";"Sí - En blanc";"11";",74"
"08204";"No";"65";"4,37"
"08204";"En blanc";"9";",61"
"08204";"Altres";"46";"3,09"
"08208";"Sí - Sí";"1925";"79,81"
"08208";"Sí - No";"247";"10,24"
"08208";"Sí - En blanc";"26";"1,08"
"08208";"No";"116";"4,81"
"08208";"En blanc";"15";",62"
"08208";"Altres";"83";"3,44"
"08211";"Sí - Sí";"8391";"70,28"
"08211";"Sí - No";"2040";"17,09"
"08211";"Sí - En blanc";"109";",91"
"08211";"No";"877";"7,35"
"08211";"En blanc";"42";",35"
"08211";"Altres";"480";"4,02"
"08217";"Sí - Sí";"5721";"70,53"
"08217";"Sí - No";"1494";"18,42"
"08217";"Sí - En blanc";"74";",91"
"08217";"No";"511";"6,30"
"08217";"En blanc";"36";",44"
"08217";"Altres";"275";"3,39"
"08221";"Sí - Sí";"5096";"81,41"
"08221";"Sí - No";"753";"12,03"
"08221";"Sí - En blanc";"41";",65"
"08221";"No";"281";"4,49"
"08221";"En blanc";"30";",48"
"08221";"Altres";"59";",94"
"08263";"Sí - Sí";"4727";"73,74"
"08263";"Sí - No";"877";"13,68"
"08263";"Sí - En blanc";"55";",86"
"08263";"No";"620";"9,67"
"08263";"En blanc";"22";",34"
"08263";"Altres";"109";"1,70"
"08244";"Sí - Sí";"2041";"75,65"
"08244";"Sí - No";"377";"13,97"
"08244";"Sí - En blanc";"31";"1,15"
"08244";"No";"142";"5,26"
"08244";"En blanc";"15";",56"
"08244";"Altres";"92";"3,41"
"08289";"Sí - Sí";"1914";"85,45"
"08289";"Sí - No";"190";"8,48"
"08289";"Sí - En blanc";"14";",63"
"08289";"No";"93";"4,15"
"08289";"En blanc";"8";",36"
"08289";"Altres";"21";",94"
"08295";"Sí - Sí";"3008";"78,39"
"08295";"Sí - No";"450";"11,73"
"08295";"Sí - En blanc";"27";",70"
"08295";"No";"281";"7,32"
"08295";"En blanc";"15";",39"
"08295";"Altres";"56";"1,46"
"08301";"Sí - Sí";"8133";"63,42"
"08301";"Sí - No";"2471";"19,27"
"08301";"Sí - En blanc";"113";",88"
"08301";"No";"1416";"11,04"
"08301";"En blanc";"58";",45"
"08301";"Altres";"633";"4,94"
"43002";"Sí - Sí";"429";"81,40"
"43002";"Sí - No";"38";"7,21"
"43002";"Sí - En blanc";"11";"2,09"
"43002";"No";"29";"5,50"
"43002";"En blanc";"2";",38"
"43002";"Altres";"18";"3,42"
"43016";"Sí - Sí";"1052";"80,18"
"43016";"Sí - No";"124";"9,45"
"43016";"Sí - En blanc";"7";",53"
"43016";"No";"73";"5,56"
"43016";"En blanc";"4";",30"
"43016";"Altres";"52";"3,96"
"43020";"Sí - Sí";"623";"77,10"
"43020";"Sí - No";"81";"10,02"
"43020";"Sí - En blanc";"11";"1,36"
"43020";"No";"44";"5,45"
"43020";"En blanc";"2";",25"
"43020";"Altres";"47";"5,82"
"43024";"Sí - Sí";"399";"76,15"
"43024";"Sí - No";"56";"10,69"
"43024";"Sí - En blanc";"6";"1,15"
"43024";"No";"37";"7,06"
"43024";"En blanc";"3";",57"
"43024";"Altres";"23";"4,39"
"43028";"Sí - Sí";"870";"84,47"
"43028";"Sí - No";"46";"4,47"
"43028";"Sí - En blanc";"3";",29"
"43028";"No";"57";"5,53"
"43028";"En blanc";"4";",39"
"43028";"Altres";"50";"4,85"
"43030";"Sí - Sí";"181";"84,98"
"43030";"Sí - No";"16";"7,51"
"43030";"Sí - En blanc";"3";"1,41"
"43030";"No";"7";"3,29"
"43030";"En blanc";"2";",94"
"43030";"Altres";"4";"1,88"
"43037";"Sí - Sí";"3718";"79,63"
"43037";"Sí - No";"429";"9,19"
"43037";"Sí - En blanc";"58";"1,24"
"43037";"No";"247";"5,29"
"43037";"En blanc";"28";",60"
"43037";"Altres";"189";"4,05"
"43051";"Sí - Sí";"1505";"72,50"
"43051";"Sí - No";"239";"11,51"
"43051";"Sí - En blanc";"19";",92"
"43051";"No";"281";"13,54"
"43051";"En blanc";"14";",67"
"43051";"Altres";"18";",87"
"43074";"Sí - Sí";"871";"85,98"
"43074";"Sí - No";"60";"5,92"
"43074";"Sí - En blanc";"16";"1,58"
"43074";"No";"27";"2,67"
"43074";"En blanc";"7";",69"
"43074";"Altres";"32";"3,16"
"43079";"Sí - Sí";"229";"92,34"
"43079";"Sí - No";"8";"3,23"
"43079";"Sí - En blanc";"4";"1,61"
"43079";"No";"1";",40"
"43079";"En blanc";"2";",81"
"43079";"Altres";"4";"1,61"
"43090";"Sí - Sí";"188";"81,03"
"43090";"Sí - No";"17";"7,33"
"43090";"Sí - En blanc";"5";"2,16"
"43090";"No";"15";"6,47"
"43090";"En blanc";"1";",43"
"43090";"Altres";"6";"2,59"
"43137";"Sí - Sí";"719";"85,19"
"43137";"Sí - No";"68";"8,06"
"43137";"Sí - En blanc";"5";",59"
"43137";"No";"24";"2,84"
"43137";"En blanc";"2";",24"
"43137";"Altres";"26";"3,08"
"43140";"Sí - Sí";"589";"81,13"
"43140";"Sí - No";"46";"6,34"
"43140";"Sí - En blanc";"10";"1,38"
"43140";"No";"44";"6,06"
"43140";"En blanc";"0";",00"
"43140";"Altres";"37";"5,10"
"43163";"Sí - Sí";"6380";"80,77"
"43163";"Sí - No";"749";"9,48"
"43163";"Sí - En blanc";"67";",85"
"43163";"No";"354";"4,48"
"43163";"En blanc";"43";",54"
"43163";"Altres";"306";"3,87"
"08015";"Sí - Sí";"35948";"72,51"
"08015";"Sí - No";"7151";"14,42"
"08015";"Sí - En blanc";"546";"1,10"
"08015";"No";"3349";"6,75"
"08015";"En blanc";"226";",46"
"08015";"Altres";"2360";"4,76"
"08019";"Sí - Sí";"397933";"78,42"
"08019";"Sí - No";"65367";"12,88"
"08019";"Sí - En blanc";"4603";",91"
"08019";"No";"22764";"4,49"
"08019";"En blanc";"2860";",56"
"08019";"Altres";"13927";"2,74"
"08101";"Sí - Sí";"30125";"67,78"
"08101";"Sí - No";"7402";"16,65"
"08101";"Sí - En blanc";"541";"1,22"
"08101";"No";"3871";"8,71"
"08101";"En blanc";"260";",58"
"08101";"Altres";"2248";"5,06"
"08194";"Sí - Sí";"4226";"68,21"
"08194";"Sí - No";"1008";"16,27"
"08194";"Sí - En blanc";"92";"1,48"
"08194";"No";"522";"8,42"
"08194";"En blanc";"28";",45"
"08194";"Altres";"320";"5,16"
"08245";"Sí - Sí";"11083";"62,27"
"08245";"Sí - No";"3243";"18,22"
"08245";"Sí - En blanc";"202";"1,14"
"08245";"No";"1969";"11,06"
"08245";"En blanc";"95";",53"
"08245";"Altres";"1205";"6,77"
"08011";"Sí - Sí";"1278";"95,44"
"08011";"Sí - No";"30";"2,24"
"08011";"Sí - En blanc";"6";",45"
"08011";"No";"3";",22"
"08011";"En blanc";"4";",30"
"08011";"Altres";"18";"1,34"
"08016";"Sí - Sí";"920";"87,87"
"08016";"Sí - No";"57";"5,44"
"08016";"Sí - En blanc";"6";",57"
"08016";"No";"25";"2,39"
"08016";"En blanc";"12";"1,15"
"08016";"Altres";"27";"2,58"
"08022";"Sí - Sí";"7148";"92,61"
"08022";"Sí - No";"213";"2,76"
"08022";"Sí - En blanc";"38";",49"
"08022";"No";"104";"1,35"
"08022";"En blanc";"43";",56"
"08022";"Altres";"172";"2,23"
"08024";"Sí - Sí";"288";"87,54"
"08024";"Sí - No";"12";"3,65"
"08024";"Sí - En blanc";"3";",91"
"08024";"No";"11";"3,34"
"08024";"En blanc";"2";",61"
"08024";"Altres";"13";"3,95"
"08045";"Sí - Sí";"33";"94,29"
"08045";"Sí - No";"1";"2,86"
"08045";"Sí - En blanc";"0";",00"
"08045";"No";"0";",00"
"08045";"En blanc";"1";"2,86"
"08045";"Altres";"0";",00"
"08049";"Sí - Sí";"866";"93,42"
"08049";"Sí - No";"16";"1,73"
"08049";"Sí - En blanc";"4";",43"
"08049";"No";"8";",86"
"08049";"En blanc";"11";"1,19"
"08049";"Altres";"22";"2,37"
"08057";"Sí - Sí";"30";"93,75"
"08057";"Sí - No";"2";"6,25"
"08057";"Sí - En blanc";"0";",00"
"08057";"No";"0";",00"
"08057";"En blanc";"0";",00"
"08057";"Altres";"0";",00"
"08052";"Sí - Sí";"87";"96,67"
"08052";"Sí - No";"1";"1,11"
"08052";"Sí - En blanc";"1";"1,11"
"08052";"No";"1";"1,11"
"08052";"En blanc";"0";",00"
"08052";"Altres";"0";",00"
"08050";"Sí - Sí";"75";"98,68"
"08050";"Sí - No";"1";"1,32"
"08050";"Sí - En blanc";"0";",00"
"08050";"No";"0";",00"
"08050";"En blanc";"0";",00"
"08050";"Altres";"0";",00"
"08268";"Sí - Sí";"576";"89,72"
"08268";"Sí - No";"21";"3,27"
"08268";"Sí - En blanc";"8";"1,25"
"08268";"No";"9";"1,40"
"08268";"En blanc";"4";",62"
"08268";"Altres";"24";"3,74"
"08078";"Sí - Sí";"147";"93,04"
"08078";"Sí - No";"7";"4,43"
"08078";"Sí - En blanc";"2";"1,27"
"08078";"No";"0";",00"
"08078";"En blanc";"1";",63"
"08078";"Altres";"1";",63"
"08080";"Sí - Sí";"11";"78,57"
"08080";"Sí - No";"1";"7,14"
"08080";"Sí - En blanc";"0";",00"
"08080";"No";"0";",00"
"08080";"En blanc";"1";"7,14"
"08080";"Altres";"1";"7,14"
"08092";"Sí - Sí";"2310";"91,27"
"08092";"Sí - No";"90";"3,56"
"08092";"Sí - En blanc";"20";",79"
"08092";"No";"31";"1,22"
"08092";"En blanc";"22";",87"
"08092";"Altres";"58";"2,29"
"08093";"Sí - Sí";"18";"100,00"
"08093";"Sí - No";"0";",00"
"08093";"Sí - En blanc";"0";",00"
"08093";"No";"0";",00"
"08093";"En blanc";"0";",00"
"08093";"Altres";"0";",00"
"25100";"Sí - Sí";"106";"89,08"
"25100";"Sí - No";"4";"3,36"
"25100";"Sí - En blanc";"2";"1,68"
"25100";"No";"2";"1,68"
"25100";"En blanc";"2";"1,68"
"25100";"Altres";"3";"2,52"
"08099";"Sí - Sí";"438";"89,75"
"08099";"Sí - No";"17";"3,48"
"08099";"Sí - En blanc";"0";",00"
"08099";"No";"15";"3,07"
"08099";"En blanc";"8";"1,64"
"08099";"Altres";"10";"2,05"
"08130";"Sí - Sí";"54";"100,00"
"08130";"Sí - No";"0";",00"
"08130";"Sí - En blanc";"0";",00"
"08130";"No";"0";",00"
"08130";"En blanc";"0";",00"
"08130";"Altres";"0";",00"
"08132";"Sí - Sí";"258";"94,51"
"08132";"Sí - No";"3";"1,10"
"08132";"Sí - En blanc";"4";"1,47"
"08132";"No";"5";"1,83"
"08132";"En blanc";"1";",37"
"08132";"Altres";"2";",73"
"08142";"Sí - Sí";"93";"94,90"
"08142";"Sí - No";"2";"2,04"
"08142";"Sí - En blanc";"0";",00"
"08142";"No";"0";",00"
"08142";"En blanc";"0";",00"
"08142";"Altres";"3";"3,06"
"08144";"Sí - Sí";"453";"92,07"
"08144";"Sí - No";"8";"1,63"
"08144";"Sí - En blanc";"1";",20"
"08144";"No";"9";"1,83"
"08144";"En blanc";"8";"1,63"
"08144";"Altres";"13";"2,64"
"08166";"Sí - Sí";"577";"88,36"
"08166";"Sí - No";"27";"4,13"
"08166";"Sí - En blanc";"6";",92"
"08166";"No";"25";"3,83"
"08166";"En blanc";"8";"1,23"
"08166";"Altres";"10";"1,53"
"08175";"Sí - Sí";"1933";"90,37"
"08175";"Sí - No";"71";"3,32"
"08175";"Sí - En blanc";"24";"1,12"
"08175";"No";"32";"1,50"
"08175";"En blanc";"11";",51"
"08175";"Altres";"68";"3,18"
"08177";"Sí - Sí";"24";"92,31"
"08177";"Sí - No";"1";"3,85"
"08177";"Sí - En blanc";"1";"3,85"
"08177";"No";"0";",00"
"08177";"En blanc";"0";",00"
"08177";"Altres";"0";",00"
"08188";"Sí - Sí";"76";"92,68"
"08188";"Sí - No";"1";"1,22"
"08188";"Sí - En blanc";"0";",00"
"08188";"No";"1";"1,22"
"08188";"En blanc";"2";"2,44"
"08188";"Altres";"2";"2,44"
"08190";"Sí - Sí";"136";"86,62"
"08190";"Sí - No";"10";"6,37"
"08190";"Sí - En blanc";"2";"1,27"
"08190";"No";"0";",00"
"08190";"En blanc";"2";"1,27"
"08190";"Altres";"7";"4,46"
"08216";"Sí - Sí";"21";"100,00"
"08216";"Sí - No";"0";",00"
"08216";"Sí - En blanc";"0";",00"
"08216";"No";"0";",00"
"08216";"En blanc";"0";",00"
"08216";"Altres";"0";",00"
"08903";"Sí - Sí";"159";"95,21"
"08903";"Sí - No";"3";"1,80"
"08903";"Sí - En blanc";"0";",00"
"08903";"No";"2";"1,20"
"08903";"En blanc";"3";"1,80"
"08903";"Altres";"0";",00"
"08255";"Sí - Sí";"80";"93,02"
"08255";"Sí - No";"2";"2,33"
"08255";"Sí - En blanc";"1";"1,16"
"08255";"No";"0";",00"
"08255";"En blanc";"0";",00"
"08255";"Altres";"3";"3,49"
"08293";"Sí - Sí";"143";"94,70"
